,pickup_zone,drop_zone
143631,Washington Heights South,Laurelton
143654,South Ozone Park,East Harlem South
143850,Park Slope,Highbridge
143929,Park Slope,East Elmhurst
143937,Melrose South,Allerton/Pelham Gardens
143991,South Williamsburg,Steinway
144002,Kew Gardens Hills,Briarwood/Jamaica Hills
144029,Pelham Parkway,Lenox Hill East
144049,Carroll Gardens,Midtown Center
144138,Morrisania/Melrose,Gramercy
144171,Yorkville West,Roosevelt Island
144299,Springfield Gardens South,Queens Village
144336,Yorkville East,Two Bridges/Seward Park
144398,Sheepshead Bay,Brooklyn Navy Yard
144484,Brooklyn Heights,Richmond Hill
144631,Kew Gardens Hills,Queensboro Hill
144634,Cobble Hill,Canarsie
144656,Kew Gardens Hills,Bay Terrace/Fort Totten
144711,Manhattanville,Fordham South
144826,DUMBO/Vinegar Hill,Richmond Hill
144870,Inwood Hill Park,Inwood Hill Park
144892,Jackson Heights,Chinatown
144958,South Ozone Park,Glendale
144962,East Flushing,Flushing Meadows-Corona Park
145170,Kingsbridge Heights,Fordham South
145187,Downtown Brooklyn/MetroTech,Bloomingdale
145226,East Flatbush/Remsen Village,Brownsville
145227,Central Park,Carroll Gardens
145294,Central Park,Park Slope
145365,Fort Greene,Baisley Park
145431,Sheepshead Bay,Breezy Point/Fort Tilden/Riis Beach
145489,Queensbridge/Ravenswood,JFK Airport
145517,Belmont,Parkchester
145536,Bensonhurst West,JFK Airport
145705,Queensbridge/Ravenswood,Greenwich Village South
145720,Parkchester,Mount Hope
145814,Forest Hills,East New York/Pennsylvania Avenue
145877,Claremont/Bathgate,East Harlem North
146024,Howard Beach,JFK Airport
146129,Old Astoria,Schuylerville/Edgewater Park
146205,Erasmus,Springfield Gardens South
146211,Williamsburg (North Side),Financial District South
146238,Flatbush/Ditmas Park,Midtown East
146247,Stuyvesant Heights,Woodside
146283,Erasmus,Murray Hill
146301,Melrose South,Midtown North
146313,Bayside,Middle Village
146343,Bushwick North,Prospect Heights
146362,Bushwick North,Lower East Side
146407,Middle Village,Midtown East
146607,Bay Ridge,Gravesend
146629,Highbridge,Sutton Place/Turtle Bay North
146641,Kew Gardens,Marine Park/Mill Basin
146701,East Harlem South,Sheepshead Bay
146750,Central Harlem North,Bronx Park
146753,Soundview/Bruckner,Kingsbridge Heights
146787,Randalls Island,Stuyvesant Heights
146803,Riverdale/North Riverdale/Fieldston,Central Harlem
146830,LaGuardia Airport,Stuy Town/Peter Cooper Village
146834,North Corona,Kew Gardens
146885,Washington Heights South,Flushing
146965,Starrett City,Ocean Hill
147013,Fresh Meadows,Jamaica Estates
147041,East Concourse/Concourse Village,Bloomingdale
147115,Saint Albans,Baisley Park
147160,Co-Op City,Bronxdale
147167,Park Slope,Dyker Heights
147215,South Williamsburg,Brooklyn Heights
147447,Claremont/Bathgate,Inwood
147568,Mott Haven/Port Morris,Times Sq/Theatre District
147577,JFK Airport,Lenox Hill West
147590,Claremont/Bathgate,Co-Op City
147639,Mount Hope,Morningside Heights
147773,Rego Park,Ocean Hill
147786,Crown Heights South,Marine Park/Mill Basin
147830,Mott Haven/Port Morris,Parkchester
147890,Soundview/Castle Hill,Central Harlem
147970,Marble Hill,Fordham South
148004,Brooklyn Heights,Starrett City
148052,Long Island City/Queens Plaza,Glendale
148070,Manhattanville,Van Cortlandt Village
148101,Cobble Hill,Green-Wood Cemetery
148137,Starrett City,East New York
148158,Astoria,Kensington
148200,Woodside,Auburndale
148204,Mount Hope,Soundview/Bruckner
148221,Jamaica,Bay Ridge
148240,Park Slope,West Chelsea/Hudson Yards
148291,Carroll Gardens,Financial District North
148341,North Corona,Lenox Hill East
148348,Long Island City/Hunters Point,Washington Heights North
148396,South Ozone Park,Astoria
148412,Woodside,TriBeCa/Civic Center
148424,Central Harlem North,Belmont
148474,Bushwick South,Park Slope
148479,Williamsburg (North Side),Gowanus
148488,Carroll Gardens,Bath Beach
148489,West Farms/Bronx River,Yorkville West
148494,Bay Ridge,East Village
148534,East Williamsburg,Flatbush/Ditmas Park
148545,Williamsburg (North Side),Washington Heights North
148578,Greenpoint,World Trade Center
148581,Coney Island,East Flatbush/Remsen Village
148589,Steinway,Stuy Town/Peter Cooper Village
148596,Bushwick North,Midwood
148612,Sheepshead Bay,Boerum Hill
148613,Carroll Gardens,Ocean Parkway South
148621,Williamsburg (North Side),Boerum Hill
148626,Woodside,Hudson Sq
148641,Jackson Heights,Saint Michaels Cemetery/Woodside
148644,East Williamsburg,Long Island City/Queens Plaza
148660,Jackson Heights,East Concourse/Concourse Village
148675,Bushwick South,Upper West Side North
148678,Crotona Park East,Westchester Village/Unionport
148698,University Heights/Morris Heights,Newark Airport
148795,Jackson Heights,Flatiron
148829,East Flatbush/Farragut,Crown Heights North
148839,Central Harlem,Ridgewood
148907,Rego Park,Clinton East
148973,Hamilton Heights,Queensbridge/Ravenswood
149110,Canarsie,Bushwick North
149226,Co-Op City,Williamsbridge/Olinville
149287,Boerum Hill,Inwood
149303,North Corona,South Ozone Park
149335,Jamaica,Melrose South
149349,Washington Heights South,Allerton/Pelham Gardens
149471,Forest Hills,Far Rockaway
149472,Rego Park,Central Harlem North
149498,Highbridge,Midtown Center
149528,Sunset Park West,Bay Ridge
149601,Bedford Park,Hamilton Heights
149641,Prospect Park,Greenwich Village South
149670,Bushwick South,JFK Airport
149688,Morningside Heights,South Jamaica
149745,Fort Greene,Mott Haven/Port Morris
149835,Washington Heights South,Williamsburg (North Side)
149883,Williamsbridge/Olinville,Maspeth
149900,Brooklyn Navy Yard,DUMBO/Vinegar Hill
149931,Cobble Hill,Flatiron
149946,Old Astoria,Bay Ridge
150008,Sunnyside,Seaport
150011,West Concourse,Bronxdale
150035,Jackson Heights,Kensington
150036,Claremont/Bathgate,Washington Heights North
150116,Morningside Heights,Woodlawn/Wakefield
150148,Kensington,Meatpacking/West Village West
150170,South Williamsburg,Crown Heights North
150297,Manhattanville,Pelham Parkway
150390,Steinway,Bloomingdale
150399,Stuyvesant Heights,Crown Heights South
150400,Crown Heights South,East Flatbush/Remsen Village
150405,East Harlem North,Bushwick North
150418,Long Island City/Hunters Point,Williamsburg (North Side)
150454,Williamsburg (North Side),Cobble Hill
150487,Jackson Heights,Stuy Town/Peter Cooper Village
150488,Carroll Gardens,West Village
150508,Ridgewood,Corona
150512,Elmhurst,Bedford Park
150528,Williamsburg (North Side),North Corona
150535,Old Astoria,Central Park
150540,Steinway,South Jamaica
150542,East Williamsburg,Lincoln Square East
150550,Gowanus,Lenox Hill West
150562,East Flushing,Hillcrest/Pomonok
150595,Bay Ridge,Sunset Park East
150598,Greenpoint,Crown Heights South
150601,East Williamsburg,Upper East Side South
150602,Bushwick South,Yorkville West
150609,Woodside,Central Harlem North
150612,Gowanus,East Village
150618,Jackson Heights,Central Harlem North
150631,North Corona,Ridgewood
150641,Maspeth,Lenox Hill East
150650,East Williamsburg,Old Astoria
150656,Long Island City/Hunters Point,Prospect Park
150661,Sunnyside,Manhattanville
150718,Prospect-Lefferts Gardens,Lower East Side
150731,Highbridge,Clinton Hill
150821,Flushing,Midtown North
150830,Central Harlem,Flushing
150840,Yorkville West,Chinatown
150879,Glendale,Corona
151010,Morningside Heights,West Farms/Bronx River
151022,DUMBO/Vinegar Hill,Middle Village
151035,Clinton Hill,Flatiron
151083,Gravesend,East Flatbush/Farragut
151155,Bedford,Park Slope
151205,Manhattan Beach,East New York
151214,Central Harlem North,Clinton Hill
151244,Crown Heights North,Williamsburg (South Side)
151467,Forest Hills,Douglaston
151498,Forest Hills,Bronxdale
151502,Coney Island,Bedford
151560,Downtown Brooklyn/MetroTech,Steinway
151614,Prospect-Lefferts Gardens,Williamsburg (North Side)
151728,Bronx Park,Van Cortlandt Village
151737,Williamsburg (South Side),Long Island City/Hunters Point
151777,Jamaica,Bedford
151912,Carroll Gardens,Lenox Hill West
151926,Hillcrest/Pomonok,Elmhurst/Maspeth
152000,DUMBO/Vinegar Hill,Borough Park
152006,Elmhurst/Maspeth,Murray Hill
152029,Mount Hope,Eastchester
152030,DUMBO/Vinegar Hill,Woodside
152078,Jackson Heights,Mott Haven/Port Morris
152093,Rockaway Park,Woodside
152125,Steinway,Belmont
152139,Jackson Heights,Bronx Park
152143,Elmhurst,Highbridge
152148,Roosevelt Island,Briarwood/Jamaica Hills
152154,Highbridge Park,Jamaica
152316,Bloomingdale,Saint Albans
152355,Steinway,Lower East Side
152356,Kensington,World Trade Center
152365,Ocean Hill,JFK Airport
152441,Middle Village,Lenox Hill East
152460,Park Slope,Homecrest
152488,Gowanus,SoHo
152534,Astoria,Red Hook
152658,Washington Heights South,Roosevelt Island
152670,Coney Island,Madison
152757,Roosevelt Island,Sutton Place/Turtle Bay North
152766,Jamaica Estates,Forest Hills
152767,Williamsburg (North Side),JFK Airport
152832,Central Park,Whitestone
152880,Coney Island,JFK Airport
152934,Midwood,Carroll Gardens
152972,Elmhurst/Maspeth,Financial District North
153005,Kew Gardens,East Village
153018,Queens Village,Bushwick North
153031,Elmhurst,DUMBO/Vinegar Hill
153095,Pelham Parkway,Manhattanville
153160,Brooklyn Heights,Inwood
153340,East Harlem North,East Flatbush/Remsen Village
153367,Central Harlem North,Co-Op City
153449,Prospect Heights,East Harlem South
153527,Kew Gardens Hills,Elmhurst
153576,Greenpoint,Rego Park
153631,East Harlem South,Baisley Park
153669,Rego Park,East Harlem South
153750,East Harlem South,Dyker Heights
153952,Norwood,Schuylerville/Edgewater Park
154001,Woodside,Woodlawn/Wakefield
154036,Park Slope,Starrett City
154140,Maspeth,Murray Hill
154427,North Corona,Flushing Meadows-Corona Park
154587,Co-Op City,Eastchester
154645,Belmont,Upper West Side South
154651,Highbridge,Central Harlem
154797,Elmhurst/Maspeth,Upper East Side South
154866,Co-Op City,Hamilton Heights
154911,Long Island City/Queens Plaza,Greenwich Village North
154928,Central Park,Madison
154950,Hollis,Cambria Heights
154955,Bedford Park,Highbridge
155027,Kew Gardens,Pelham Bay
155050,Bedford,East Flatbush/Farragut
155162,Washington Heights South,Clinton Hill
155226,Clinton Hill,Erasmus
155299,Bedford Park,Washington Heights North
155324,Hamilton Heights,Randalls Island
155336,Bedford,Cypress Hills
155396,Brighton Beach,Dyker Heights
155415,Norwood,Mount Hope
155466,Ridgewood,Glendale
155551,Bay Ridge,Cobble Hill
155554,Brooklyn Heights,Forest Hills
155792,Jamaica Estates,West Farms/Bronx River
155848,East Harlem South,Brooklyn Navy Yard
155866,Central Harlem,Bedford
155991,Marble Hill,Kingsbridge Heights
155998,Baisley Park,Woodside
156063,Bloomingdale,Riverdale/North Riverdale/Fieldston
156079,Middle Village,Corona
156144,Canarsie,Woodhaven
156177,Mott Haven/Port Morris,Bronxdale
156182,Bloomingdale,Steinway
156189,Boerum Hill,Financial District South
156256,Central Harlem North,East New York
156309,Baisley Park,Far Rockaway
156322,Yorkville East,Roosevelt Island
156446,Hamilton Heights,Inwood Hill Park
156472,Belmont,Morrisania/Melrose
156498,Central Park,East Williamsburg
156702,Carroll Gardens,Midtown East
156757,Hillcrest/Pomonok,Midtown North
156881,Yorkville East,Washington Heights North
156975,Rego Park,Flatlands
157026,Flushing Meadows-Corona Park,Central Harlem North
157027,Central Harlem North,Hillcrest/Pomonok
157074,Allerton/Pelham Gardens,Hunts Point
157091,Downtown Brooklyn/MetroTech,Woodside
157111,Carroll Gardens,Middle Village
157330,Williamsburg (South Side),DUMBO/Vinegar Hill
157405,Melrose South,Crotona Park East
157421,Madison,Marine Park/Mill Basin
157432,Jamaica,Mount Hope
157505,Kew Gardens,Sutton Place/Turtle Bay North
157611,Prospect Heights,Flatbush/Ditmas Park
157614,Prospect Heights,Lenox Hill East
157662,Queensbridge/Ravenswood,Midtown East
157730,Middle Village,Central Harlem
157744,Hillcrest/Pomonok,Glen Oaks
157822,Central Harlem North,North Corona
157967,Glen Oaks,Briarwood/Jamaica Hills
158208,Long Island City/Queens Plaza,Kew Gardens
158304,Central Harlem,Fresh Meadows
158473,Melrose South,World Trade Center
158475,JFK Airport,Briarwood/Jamaica Hills
158546,Central Harlem,Allerton/Pelham Gardens
158598,Mott Haven/Port Morris,Woodlawn/Wakefield
158610,Rosedale,Laurelton
158620,Long Island City/Hunters Point,South Ozone Park
158746,JFK Airport,Yorkville East
158827,Hamilton Heights,Belmont
158867,Erasmus,LaGuardia Airport
159024,Mott Haven/Port Morris,Bronx Park
159141,Manhattan Beach,Clinton East
159150,Woodside,Sunset Park West
159166,Corona,Glen Oaks
159167,Cobble Hill,Hillcrest/Pomonok
159214,Cobble Hill,Garment District
159223,Kingsbridge Heights,East Harlem South
159414,Hollis,College Point
159444,East Flatbush/Remsen Village,Bushwick South
159457,Carroll Gardens,Yorkville West
159511,Forest Park/Highland Park,Elmhurst/Maspeth
159531,Clinton Hill,Gowanus
159563,Borough Park,Brooklyn Heights
159590,Morningside Heights,Belmont
159664,Williamsbridge/Olinville,East Concourse/Concourse Village
159668,East Harlem North,Middle Village
159686,Bedford Park,Kingsbridge Heights
159751,South Ozone Park,Midtown South
159769,Brownsville,Elmhurst
159859,Prospect Park,Borough Park
159922,Park Slope,Gravesend
159988,Central Park,Boerum Hill
160067,South Jamaica,Laurelton
160100,Brownsville,Rego Park
160204,Manhattan Beach,Manhattan Beach
160222,Upper East Side North,Alphabet City
160420,Elmhurst/Maspeth,Flushing Meadows-Corona Park
160444,Ocean Hill,Bensonhurst West
160522,Central Park,Long Island City/Queens Plaza
160576,Gowanus,Prospect Heights
160664,Bushwick North,Elmhurst
160693,Washington Heights South,Battery Park
160752,Morningside Heights,Downtown Brooklyn/MetroTech
160797,Williamsburg (South Side),Windsor Terrace
160914,Elmhurst/Maspeth,Howard Beach
160934,Manhattanville,JFK Airport
160973,Flatbush/Ditmas Park,Brooklyn Heights
160977,Elmhurst/Maspeth,Randalls Island
160983,Bay Ridge,New Dorp/Midland Beach
161006,Soundview/Castle Hill,Flushing
161007,Jackson Heights,Oakland Gardens
161043,Elmhurst/Maspeth,East Flushing
161048,Richmond Hill,Murray Hill-Queens
161086,East Williamsburg,Green-Wood Cemetery
161113,Ocean Hill,Long Island City/Queens Plaza
161215,Mount Hope,Times Sq/Theatre District
161305,Madison,Coney Island
161354,Yorkville West,Morningside Heights
161364,Flushing,Manhattan Beach
161474,Auburndale,East Flushing
161516,Yorkville West,Washington Heights South
161542,East Williamsburg,East New York/Pennsylvania Avenue
161655,Gowanus,Battery Park City
161672,Queensbridge/Ravenswood,Yorkville West
161744,West Brighton,Washington Heights South
161770,Washington Heights North,Park Slope
161952,Washington Heights North,Midtown Center
161953,Flushing Meadows-Corona Park,College Point
162016,Norwood,Marble Hill
162146,Long Island City/Hunters Point,Bedford
162158,Washington Heights North,Astoria
162182,Park Slope,Washington Heights North
162247,Queensbridge/Ravenswood,West Village
162301,Rego Park,Yorkville West
162320,Cypress Hills,West Concourse
162400,Stuyvesant Heights,JFK Airport
162412,Parkchester,Fordham South
162470,Steinway,World Trade Center
162487,Bushwick South,Middle Village
162579,North Corona,LaGuardia Airport
162591,Spuyten Duyvil/Kingsbridge,Lincoln Square East
162684,Steinway,Ridgewood
162715,Westchester Village/Unionport,Central Harlem North
162719,Long Island City/Queens Plaza,East Williamsburg
162748,DUMBO/Vinegar Hill,East Elmhurst
162936,Bedford,Central Harlem
162993,Queensbridge/Ravenswood,Williamsburg (South Side)
163177,Mott Haven/Port Morris,Upper West Side South
163212,Fort Greene,Manhattan Valley
163249,Sunnyside,Bushwick North
163262,Astoria,Chinatown
163383,Washington Heights South,Howard Beach
163394,Old Astoria,Upper West Side South
163411,Williamsburg (North Side),Downtown Brooklyn/MetroTech
163412,Williamsburg (North Side),Queensbridge/Ravenswood
163441,Greenpoint,Bay Ridge
163477,Greenpoint,Lincoln Square East
163478,Long Island City/Hunters Point,Manhattanville
163486,Bushwick South,Financial District North
163520,Jackson Heights,Willets Point
163536,Gowanus,Long Island City/Queens Plaza
163540,Sunnyside,Glendale
163546,Clinton Hill,Astoria
163555,Williamsburg (North Side),Flushing
163559,Bushwick South,Midwood
163595,Elmhurst,Washington Heights North
163597,Williamsburg (South Side),Steinway
163599,Gowanus,Greenpoint
163611,Sunnyside,West Chelsea/Hudson Yards
163612,Woodside,Kingsbridge Heights
163621,West Concourse,Jackson Heights
163642,Bushwick South,Lower East Side
163676,Cobble Hill,Lincoln Square East
163704,Kew Gardens,Windsor Terrace
163724,Carroll Gardens,Flushing
163726,Jackson Heights,Roosevelt Island
163737,Central Harlem,Pelham Parkway
163881,Randalls Island,Upper West Side North
163910,Forest Hills,Cobble Hill
163917,West Concourse,Schuylerville/Edgewater Park
163941,Long Island City/Queens Plaza,Brooklyn Heights
163974,Windsor Terrace,Stuyvesant Heights
164030,Flushing,Garment District
164111,Gowanus,Kips Bay
164187,Upper East Side North,Long Island City/Queens Plaza
164280,Highbridge Park,East Harlem South
164322,East Harlem North,Country Club
164359,Brooklyn Navy Yard,Williamsburg (North Side)
164563,Brooklyn Navy Yard,Lower East Side
164572,East Harlem North,City Island
164590,Briarwood/Jamaica Hills,Flushing Meadows-Corona Park
